,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state
0,Aalst,Appartement,None,280400.0,notariale,4,None,0,0,0,None,None,0,None,None,110,None,0,None
1,None,Appartement,None,None,notariale,3,None,0,0,0,None,None,0,None,None,49,None,0,None
2,Aalst,Appartement,None,284000.0,notariale,4,None,0,0,0,None,None,0,None,None,120,None,0,None
3,Aalst,Appartement,None,242500.0,notariale,4,None,0,0,0,None,None,0,None,None,96,None,0,None
4,Maldegem,Maison,None,322600.0,notariale,6,None,0,0,0,None,None,0,None,None,492,3,0,None
5,Aalst,Appartement,None,152100.0,notariale,3,None,0,0,0,None,None,0,None,None,47,None,0,None
6,Aalst,Appartement,None,311500.0,notariale,4,None,0,0,0,None,None,0,None,None,110,None,0,None
7,Aalst,Appartement,None,227000.0,notariale,4,None,0,0,0,None,None,0,None,None,90,None,0,None
8,Olsene,Appartement,None,287500.0,notariale,4,None,0,0,0,None,None,0,None,None,94,None,0,None
9,Aalst,Maison,Maison de ville,319000.0,notariale,8,None,0,0,0,None,None,1,None,None,None,None,0,None
0,Wetteren,Appartement,Serviceflat,269000.0,notariale,4,75,0,0,0,None,None,1,None,None,None,None,0,old
1,Wetteren,Appartement,None,269000.0,notariale,4,75,0,0,0,None,None,1,None,None,None,None,0,old
2,Ledeberg,Maison,None,495000.0,notariale,13,None,0,0,0,None,None,1,None,None,212,None,0,new
3,Ledeberg,Maison,None,495000.0,notariale,13,None,0,0,0,None,None,1,None,None,212,None,0,new
4,Meerbeke,Maison,None,272000.0,notariale,6,None,0,0,0,None,None,1,None,None,334,3,0,new
5,Sint-Niklaas,Appartement,None,172000.0,notariale,5,97,0,0,0,None,None,0,None,None,None,None,0,None
6,Evergem,Appartement,None,269000.0,notariale,4,90,0,0,0,True,20,1,None,None,183,2,0,old
7,Nieuwerkerken,Maison,None,375000.0,notariale,11,271,0,0,0,True,6,1,None,None,399,None,0,old
8,Appelterre-Eichem,Maison,None,359000.0,notariale,8,223,0,0,0,None,None,0,None,None,206,3,0,new
9,Appelterre-Eichem,Maison,None,385000.0,notariale,8,308,0,0,0,True,30,0,None,None,307,3,0,new
0,Zottegem,Appartement,None,179000.0,notariale,4,01,0,0,0,None,None,0,None,None,01,2,0,old
1,Zottegem,Appartement,None,203000.0,notariale,4,05,0,0,0,None,None,0,None,None,05,2,0,old
2,Zottegem,Appartement,None,208000.0,notariale,4,62,0,0,0,None,None,0,None,None,62,2,0,old
3,Zottegem,Appartement,None,240000.0,notariale,4,01,0,0,0,None,None,0,None,None,01,2,0,old
4,Zottegem,Appartement,None,208000.0,notariale,4,62,0,0,0,None,None,0,None,None,62,2,0,old
5,Zottegem,Appartement,None,203000.0,notariale,4,65,0,0,0,None,None,0,None,None,65,3,0,old
6,Zottegem,Appartement,None,203000.0,notariale,4,65,0,0,0,None,None,0,None,None,65,3,0,old
7,Zottegem,Appartement,None,161000.0,notariale,3,35,0,0,0,None,None,0,None,None,35,2,0,old
8,Zottegem,Appartement,None,232500.0,notariale,4,84,0,0,0,None,None,0,None,None,84,2,0,old
9,Zottegem,Appartement,None,170000.0,notariale,4,29,0,0,0,None,None,0,None,None,29,2,0,old
0,Sint-Niklaas,Maison,Maison unifamiliale,299000.0,notariale,7,194,0,0,0,None,None,0,None,None,140,2,0,new
1,Geraardsbergen,Appartement,None,165000.0,notariale,5,114,0,0,0,True,3,1,114,0,114,2,0,old
2,Ninove,Maison,None,187000.0,notariale,5,110,0,0,0,None,None,0,None,None,230,2,0,None
3,None,Maison,None,None,notariale,4,None,0,0,0,None,None,1,None,None,456,3,0,None
4,None,Maison,None,None,notariale,4,None,0,0,0,None,None,1,None,None,382,3,0,None
5,None,Maison,None,None,notariale,4,None,0,0,0,None,None,0,None,None,229,2,0,None
6,None,Maison,None,None,notariale,4,None,0,0,0,None,None,0,None,None,229,2,0,None
7,None,Maison,None,None,notariale,4,None,0,0,0,None,None,0,None,None,290,2,0,None
8,None,Maison,None,None,notariale,4,None,0,0,0,None,None,0,None,None,290,2,0,None
9,Gent,Appartement,None,236000.0,notariale,3,61,0,0,0,None,None,0,None,None,61,2,0,None
0,Kalken,Appartement,None,311200.0,notariale,2,97,0,0,0,None,None,0,None,None,None,None,0,None
1,Maldegem,Appartement,None,218030.0,notariale,5,None,0,0,0,True,8,0,None,None,None,None,0,None
2,Lokeren,Appartement,Duplex,459667.0,notariale,7,204,0,0,0,True,27,0,None,None,None,2,0,old
3,Sint-Gillis-Waas,Maison,None,316445.0,notariale,6,None,0,0,0,None,None,1,None,None,341,3,0,None
4,Maldegem,Appartement,None,239000.0,notariale,6,100,0,0,0,None,None,0,None,None,None,None,0,old
5,Gent,Maison,Usage mixte,695000.0,notariale,12,180,0,0,0,None,None,0,71,0,71,2,0,None
6,None,Maison,None,None,notariale,4,None,0,0,0,None,None,0,None,None,375,3,0,None
7,Lede,Maison,None,289766.0,notariale,7,None,0,0,0,None,None,1,None,None,289,3,0,None
8,Adegem,Maison,None,292784.0,notariale,6,None,0,0,0,None,None,0,None,None,246,3,0,None
9,Oudenaarde,Maison,None,352400.0,notariale,5,None,0,0,0,None,None,1,None,None,384,4,0,None
0,Moerbeke-Waas,Appartement,None,580000.0,notariale,12,115,0,0,0,None,None,0,None,None,400,3,0,old
1,Oudenaarde,Maison,None,485000.0,notariale,6,236,0,0,0,None,None,1,130,110,240,3,0,new
2,Ninove,Appartement,App. rez-de-chaussée,269900.0,notariale,4,90,0,0,0,True,20,1,None,None,177,2,0,old
3,Ninove,Appartement,App. rez-de-chaussée,214500.0,notariale,4,75,0,0,0,True,13,0,None,None,88,2,0,old
4,Ninove,Appartement,None,265500.0,notariale,4,89,0,0,0,True,26,0,None,None,115,2,0,old
5,Eeklo,Appartement,None,185000.0,notariale,5,74,0,0,0,True,10,0,None,None,None,3,0,old
6,Gent,Maison,None,315000.0,notariale,5,1,0,0,0,True,15,0,None,None,79,2,0,None
7,Nederhasselt,Maison,None,265000.0,notariale,3,None,0,0,0,None,None,0,None,None,None,None,0,old
8,Bassevelde,Maison,None,179000.0,notariale,3,None,0,0,0,None,None,0,218,74,292,3,0,old
9,Gent,Appartement,None,410000.0,notariale,7,156,0,1,0,None,None,0,None,None,None,2,0,old
0,Ninove,Maison,Maison unifamiliale,180000.0,notariale,2,None,0,0,0,None,None,0,None,None,None,None,0,None
1,Outer,Maison,Maison unifamiliale,180000.0,notariale,2,None,0,0,0,None,None,0,None,None,None,None,0,None
2,Zulte,Maison,Villa,485000.0,notariale,7,235,0,0,0,None,None,0,None,None,833,4,0,old
3,Meilegem,Maison,Villa moderne,497400.0,notariale,6,180,0,0,0,None,None,0,None,None,610,4,0,old
4,Kruishoutem,Maison,None,389780.0,notariale,6,202,0,0,0,None,None,1,None,None,973,4,0,None
5,Eeklo,Maison,None,244900.0,notariale,7,None,0,0,0,None,None,0,None,None,122,None,0,None
6,Dendermonde,Appartement,Duplex,320000.0,notariale,7,172,0,0,0,None,None,0,None,None,210,2,0,None
7,Knesselare,Maison,Villa,925000.0,notariale,5,330,0,0,0,None,None,1,None,None,832,4,0,None
8,Wieze,Maison,None,279666.0,notariale,6,127,0,0,0,None,None,1,None,None,None,3,0,old
9,Deinze,Appartement,None,125000.0,notariale,4,45,0,0,0,None,None,0,None,None,45,2,0,old
0,Wortegem-Petegem,Maison,None,285000.0,notariale,6,144,0,0,0,None,None,0,None,None,179,2,0,old
1,Wortegem-Petegem,Appartement,None,237000.0,notariale,4,87,0,0,0,None,None,0,None,None,None,None,0,old
2,Wortegem-Petegem,Appartement,None,245000.0,notariale,4,86,0,0,0,None,None,0,None,None,None,None,0,old
3,Wortegem-Petegem,Appartement,None,285000.0,notariale,5,91,0,0,0,None,None,0,None,None,None,None,0,old
4,Wondelgem,Appartement,None,336000.0,notariale,4,98,0,0,0,None,None,0,None,None,None,None,0,old
5,Wondelgem,Appartement,None,395000.0,notariale,5,110,0,0,0,None,None,0,None,None,None,None,0,old
6,Wondelgem,Maison,None,372500.0,notariale,6,142,0,0,0,None,None,0,None,None,176,2,0,old
7,Wondelgem,Maison,None,466500.0,notariale,7,178,0,0,0,None,None,0,None,None,579,3,0,old
8,Gent,Maison,None,199500.0,notariale,4,60,0,0,0,None,None,0,30,0,30,2,0,None
9,Nieuwkerken-Waas,Maison,None,382000.0,notariale,5,142,0,0,0,None,None,0,None,None,380,3,0,old
0,Eke,Appartement,None,438000.0,notariale,6,90,0,0,0,True,40,1,None,None,None,None,0,None
1,Evergem,Appartement,None,239000.0,notariale,2,None,0,0,0,None,None,1,None,None,64,2,0,old
2,Evergem,Appartement,None,320000.0,notariale,3,None,0,0,0,None,None,1,None,None,112,2,0,old
3,Evergem,Appartement,None,239000.0,notariale,2,None,0,0,0,None,None,1,None,None,64,2,0,old
4,Waarschoot,Appartement,None,370000.0,notariale,4,121,0,0,0,True,50,1,None,None,None,2,0,old
5,Temse,Appartement,Loft,203500.0,notariale,2,None,0,0,0,None,None,0,None,None,None,None,0,old
6,Eeklo,Maison,None,291124.0,notariale,6,None,0,0,0,None,None,0,None,None,766,3,0,None
7,None,Appartement,None,None,notariale,0,None,0,0,0,None,None,0,None,None,None,None,0,None
8,None,Appartement,None,None,notariale,1,None,0,0,0,None,None,0,None,None,None,2,0,None
9,Haaltert,Appartement,None,280000.0,notariale,5,116,0,0,0,None,None,0,None,None,20,2,0,None
0,Moerbeke-Waas,Maison,None,275000.0,agence,6,None,0,0,0,None,None,1,None,None,484,4,0,old
1,None,Appartement,None,None,notariale,0,None,0,0,0,None,None,0,124,None,None,2,0,None
2,Gent,Appartement,None,313000.0,notariale,4,100,0,0,0,None,None,0,None,None,116,None,0,old
3,Nazareth,Appartement,None,349000.0,notariale,4,73,0,0,0,None,None,1,73,12,85,None,0,None
4,Nazareth,Appartement,None,338000.0,notariale,3,89,0,0,0,None,None,1,89,-2,87,None,0,None
5,Nazareth,Appartement,None,338000.0,notariale,3,89,0,0,0,None,None,1,89,0,89,None,0,None
6,Nazareth,Appartement,None,315000.0,notariale,3,53,0,0,0,None,None,1,53,43,96,None,0,None
7,Aalter,Maison,Villa,359000.0,notariale,7,235,0,0,0,None,None,0,None,None,216,4,0,old
8,Gent,Appartement,Serviceflat,390000.0,notariale,5,106,0,0,0,True,12,0,None,None,None,None,0,old
9,Gent,Appartement,Serviceflat,390000.0,notariale,5,106,0,0,0,True,12,0,None,None,None,None,0,old
0,Zelzate,Maison,Maison unifamiliale,195000.0,notariale,6,129,0,0,0,None,None,1,None,None,162,3,0,old
1,Onkerzele,Maison,None,200000.0,notariale,5,135,0,0,0,None,None,0,None,None,553,2,0,None
2,Vlierzele,Appartement,App. rez-de-chaussée,179000.0,notariale,5,62,0,0,0,None,None,0,None,None,None,2,0,old
3,Oudegem,Maison,None,209000.0,notariale,7,178,0,0,0,None,None,1,None,None,160,3,0,old
4,Denderleeuw,Maison,None,325000.0,notariale,5,230,0,0,0,True,14,0,None,None,242,3,0,None
5,Sint-Niklaas,Appartement,None,234000.0,notariale,4,100,0,0,0,None,None,0,None,None,None,2,0,old
6,Eeklo,Appartement,None,149000.0,notariale,3,55,0,0,0,None,None,0,None,None,None,2,0,old
7,Eeklo,Appartement,None,289000.0,notariale,4,124,0,0,0,True,9,0,None,None,None,2,0,old
8,Eeklo,Appartement,None,239000.0,notariale,4,102,0,0,0,True,13,0,None,None,None,2,0,old
9,Sint-Margriete,Maison,Villa,469000.0,notariale,11,415,0,0,1,None,None,1,None,None,900,4,0,new
0,Schellebelle,Maison,None,329000.0,notariale,6,135,0,0,0,None,None,1,None,None,203,3,0,old
1,Aalst,Appartement,None,147900.0,notariale,4,None,0,0,0,None,None,0,None,None,60,None,0,old
2,Aalst,Maison,None,209000.0,notariale,7,None,0,0,0,None,None,0,None,None,384,2,0,None
3,Denderhoutem,Maison,None,175000.0,notariale,4,None,0,0,0,None,None,1,None,None,None,2,0,None
4,Gent,Maison,None,335000.0,notariale,4,143,0,0,0,None,None,0,None,None,60,None,0,new
5,Gent,Maison,None,795000.0,notariale,7,240,0,0,0,None,None,1,None,None,115,None,0,new
6,Wetteren,Maison,None,245000.0,notariale,5,135,0,0,0,None,None,0,None,None,80,2,0,None
7,Assenede,Maison,None,295000.0,notariale,7,160,0,0,0,None,None,1,None,None,832,3,0,old
8,Aalst,Appartement,App. rez-de-chaussée,265000.0,notariale,4,90,0,0,0,True,21,0,None,None,112,None,0,old
9,Heusden,Maison,None,398000.0,notariale,6,166,0,0,0,None,None,1,None,None,990,4,0,old
0,Borsbeke,Maison,None,344446.0,notariale,7,None,0,0,0,None,None,0,None,None,262,3,0,None
1,Sint-Jan-in-Eremo,Maison,None,324000.0,notariale,8,None,0,0,0,None,None,0,None,None,346,3,0,None
2,Wetteren,Maison,None,352997.0,notariale,4,None,0,0,0,None,None,1,None,None,280,3,0,None
3,Borsbeke,Maison,None,128000.0,notariale,4,None,0,0,0,None,None,0,None,None,451,2,0,None
4,Adegem,Maison,None,307902.0,notariale,6,None,0,0,0,None,None,0,None,None,276,3,0,None
5,Borsbeke,Maison,None,124000.0,notariale,4,None,0,0,0,None,None,0,None,None,439,2,0,None
6,Hofstade,Maison,None,433633.0,notariale,6,None,0,0,0,None,None,0,None,None,652,4,0,None
7,Zottegem,Appartement,Serviceflat,185000.0,notariale,2,55,0,0,0,True,9,0,None,None,64,4,0,old
8,Zottegem,Appartement,Serviceflat,205000.0,notariale,2,64,0,0,0,True,4,0,None,None,68,4,0,old
9,Zottegem,Appartement,Serviceflat,215000.0,notariale,2,66,0,0,0,True,7,0,None,None,73,4,0,old
0,Serskamp,Appartement,None,192000.0,notariale,4,None,0,0,0,None,None,0,82,556,638,None,0,old
1,Oudenaarde,Maison,Villa,695000.0,notariale,8,196,0,0,0,None,None,0,None,None,560,4,0,old
2,Oudenaarde,Maison,Villa,695000.0,notariale,8,196,0,0,0,None,None,0,None,None,560,4,0,old
3,Geraardsbergen,Maison,None,259000.0,notariale,7,200,0,0,0,True,25,1,None,None,670,2,0,new
4,Gent,Maison,None,289000.0,notariale,4,128,0,0,0,None,None,1,None,None,64,2,0,new
5,Mariakerke,Maison,None,289000.0,notariale,4,128,0,0,0,None,None,1,None,None,64,2,0,new
6,Heusden,Maison,None,345000.0,notariale,5,165,0,0,0,None,None,1,None,None,200,2,0,old
7,Gent,Maison,Maison unifamiliale,195000.0,notariale,6,None,0,0,0,None,None,0,None,None,None,2,0,None
8,Gent,Maison,Usage mixte,950000.0,notariale,9,471,0,0,0,None,None,0,None,None,100,3,0,new
9,Eke,Maison,None,378519.0,notariale,6,None,0,0,0,None,None,0,None,None,644,4,0,None
0,Gent,Maison,None,240000.0,notariale,6,148,0,0,0,None,None,0,None,None,None,2,0,None
1,Lede,Appartement,Duplex,248500.0,notariale,6,135,0,0,0,True,30,0,None,None,None,2,0,None
2,Erembodegem,Maison,None,154000.0,notariale,4,125,0,0,0,None,None,0,None,None,77,2,0,None
3,Aalst,Maison,None,195000.0,notariale,4,100,0,0,0,True,15,0,None,None,80,2,0,None
4,Zele,Maison,None,159000.0,notariale,4,110,0,0,0,None,None,1,None,None,310,None,0,None
5,Lebbeke,Maison,None,299000.0,notariale,7,203,0,0,0,None,None,1,None,None,546,None,0,old
6,Berlare,Maison,None,125000.0,notariale,3,None,0,0,0,None,None,0,None,None,140,2,0,old
7,Berlare,Maison,None,70000.0,notariale,2,None,0,0,0,None,None,0,None,None,140,None,0,None
8,Balegem,Maison,None,162500.0,notariale,4,132,0,0,0,None,None,1,None,None,359,None,0,None
9,Roborst,Maison,None,699000.0,notariale,9,None,0,0,0,None,None,1,455,95,550,4,0,new
0,Gent,Maison,None,159500.0,notariale,3,80,0,0,0,None,None,0,None,None,20,None,0,None
1,Sint-Amandsberg,Maison,None,310000.0,notariale,2,180,0,0,0,True,42,0,None,None,317,None,0,old
2,Lede,Maison,None,289000.0,notariale,7,260,0,0,0,True,38,0,260,-80,180,None,0,None
3,Sint-Amandsberg,Maison,Maison ouvrière,240000.0,notariale,7,148,0,0,0,True,12,0,None,None,72,2,0,new
4,Kalken,Maison,None,379850.0,notariale,5,None,0,0,0,None,None,0,190,85,275,3,0,old
5,Waarschoot,Maison,None,209000.0,notariale,1,120,0,0,0,None,None,1,None,None,170,2,0,old
6,Gentbrugge,Appartement,Attique,140000.0,notariale,3,50,0,0,0,None,None,0,None,None,None,2,0,None
7,Overmere,Maison,None,315000.0,notariale,5,130,0,0,0,None,None,0,None,None,295,3,0,old
8,Zelzate,Maison,None,135000.0,notariale,0,None,0,0,0,None,None,0,None,None,360,3,0,None
9,Gent,Maison,None,255000.0,notariale,4,137,0,0,0,None,None,0,None,None,69,2,0,None
0,Lokeren,Maison,None,325000.0,notariale,7,165,0,0,0,None,None,1,None,None,265,None,0,old
1,Geraardsbergen,Maison,None,98000.0,notariale,4,60,1,0,0,None,None,0,None,None,None,2,0,None
2,Erondegem,Maison,None,269000.0,notariale,8,234,0,0,0,None,None,1,None,None,532,2,0,old
3,Gent,Maison,None,259000.0,notariale,4,98,0,0,0,None,None,0,None,None,273,2,0,None
4,Laarne,Maison,None,299000.0,notariale,4,122,0,0,0,None,None,1,None,None,None,None,0,old
5,Sint-Amandsberg,Appartement,None,229500.0,notariale,4,80,0,0,0,True,3,0,None,None,None,None,0,None
6,Kluisbergen,Maison,Villa,1249000.0,notariale,9,320,1,0,0,None,None,0,None,None,040,4,0,None
7,Lokeren,Maison,None,339000.0,notariale,6,152,0,0,0,None,None,1,None,None,255,2,0,new
8,Melle,Appartement,None,299000.0,notariale,4,97,0,0,0,True,3,1,None,None,None,2,0,old
9,Eeklo,Maison,Maison bourgeoise,219000.0,notariale,8,165,0,0,0,True,20,1,None,None,249,3,0,old
0,Evergem,Maison,None,364000.0,notariale,8,92,0,0,0,None,None,0,16,160,176,3,0,old
1,None,Maison,Villa,None,notariale,7,196,0,0,0,None,None,0,204,707,911,4,0,old
2,Sint-Amandsberg,Maison,None,242500.0,notariale,4,125,0,0,0,True,12,0,None,None,74,None,0,None
3,Sint-Amandsberg,Appartement,None,195000.0,notariale,3,82,0,0,0,True,7,0,None,None,None,None,0,None
4,Melsele,Maison,None,220000.0,notariale,0,155,0,0,0,None,None,1,None,None,98,2,0,old
5,Sint-Gillis-Waas,Maison,None,318000.0,notariale,7,187,0,0,0,None,None,0,None,None,230,2,0,old
6,Oudenaarde,Maison,None,315000.0,notariale,6,None,0,0,0,None,None,1,None,None,32,3,0,old
7,Gijzegem,Maison,None,235000.0,notariale,5,193,0,0,0,None,None,0,286,None,None,3,0,old
8,Maarkedal,Maison,None,437259.0,notariale,5,None,0,0,0,None,None,0,None,None,172,4,0,old
9,Wortegem,Maison,Villa,425000.0,notariale,7,250,0,0,0,None,None,1,None,None,988,4,0,old
0,Oostakker,Maison,Maison unifamiliale,406244.0,notariale,5,57,0,0,0,None,None,1,None,None,328,3,0,None
1,Oostakker,Maison,Maison unifamiliale,355901.0,notariale,5,03,0,0,0,None,None,1,None,None,210,2,0,None
2,Appelterre-Eichem,Maison,None,279000.0,notariale,5,None,0,0,0,None,None,1,None,None,663,None,0,None
3,Adegem,Maison,None,334295.0,notariale,4,None,0,0,0,None,None,1,None,None,243,2,0,None
4,Landegem,Maison,None,370509.0,notariale,4,None,0,0,0,None,None,1,None,None,335,3,0,None
5,Lembeke,Maison,None,402645.0,notariale,6,None,0,0,0,None,None,1,None,None,434,4,0,None
6,Adegem,Maison,None,323303.0,notariale,4,None,0,0,0,None,None,1,None,None,188,2,0,None
7,Sint-Lievens-Esse,Maison,None,284000.0,notariale,7,161,0,0,0,None,None,0,84,210,294,None,0,old
8,Sint-Niklaas,Appartement,Serviceflat,251250.0,notariale,2,70,0,0,0,True,14,1,None,None,None,None,0,None
9,Sint-Niklaas,Maison,Maison unifamiliale,320000.0,notariale,6,143,0,0,0,None,None,0,None,None,178,2,0,old
0,Sint-Gillis-Bij-Dendermonde,Appartement,None,275000.0,notariale,5,88,0,0,0,None,None,0,None,None,None,None,0,old
1,Lokeren,Maison,None,152500.0,notariale,3,None,0,0,0,None,None,0,None,None,195,2,0,None
2,Aalter,Appartement,None,159000.0,notariale,3,None,1,0,0,None,None,0,None,None,None,2,0,old
3,Denderhoutem,Appartement,None,300000.0,notariale,2,None,0,0,0,None,None,0,None,None,100,None,0,None
4,Denderhoutem,Appartement,None,225000.0,notariale,2,None,0,0,0,None,None,0,None,None,51,2,0,None
5,Denderhoutem,Appartement,None,275000.0,notariale,3,None,0,0,0,None,None,0,None,None,100,2,0,None
6,Denderhoutem,Appartement,None,225000.0,notariale,2,None,0,0,0,None,None,0,None,None,51,2,0,None
7,Denderhoutem,Appartement,None,275000.0,notariale,2,None,0,0,0,None,None,0,None,None,100,2,0,None
8,Denderhoutem,Appartement,None,275000.0,notariale,4,113,0,0,0,None,None,0,None,None,113,2,0,None
9,Sint-Niklaas,Appartement,None,194900.0,notariale,3,72,0,0,0,True,4,0,None,None,None,None,0,old
0,Gent,Appartement,None,336500.0,notariale,3,98,0,0,0,None,None,0,None,None,108,2,0,None
1,Huise,Maison,None,490000.0,notariale,7,None,0,0,0,None,None,1,140,112,252,4,0,None
2,Gent,Maison,Maison de ville,897000.0,notariale,7,258,0,0,0,None,None,0,None,None,102,None,0,new
3,Ninove,Appartement,None,1100000.0,notariale,3,None,0,0,0,None,None,0,None,None,None,None,0,old
4,Strijpen,Maison,None,310000.0,notariale,7,190,0,0,0,None,None,1,None,None,730,4,0,None
5,Gent,Appartement,None,329000.0,notariale,4,113,0,0,0,True,13,0,None,None,277,2,0,old
6,Aalst,Appartement,None,195000.0,notariale,4,115,0,0,0,None,None,0,None,None,None,None,0,new
7,Zele,Maison,None,279000.0,notariale,7,240,0,0,0,None,None,1,None,None,250,2,0,new
8,Zele,Maison,None,265000.0,notariale,6,220,0,0,0,None,None,1,None,None,200,2,0,new
9,Renaix,Maison,None,200000.0,notariale,5,None,0,0,0,None,None,1,None,None,255,2,0,None
0,Vrasene,Appartement,None,211000.0,notariale,4,84,0,0,0,True,5,0,None,None,None,4,0,old
1,Vrasene,Appartement,None,229000.0,notariale,4,92,0,0,0,True,5,0,None,None,None,4,0,old
2,Vrasene,Appartement,Penthouse,288000.0,notariale,6,105,0,0,0,True,42,0,None,None,None,4,0,old
3,Vrasene,Appartement,None,213000.0,notariale,4,84,0,0,0,True,5,0,None,None,None,4,0,old
4,Erembodegem,Maison,None,289000.0,notariale,6,224,0,0,1,True,30,1,None,None,405,2,0,None
5,Ninove,Appartement,None,195000.0,notariale,2,87,0,0,0,None,None,0,None,None,87,None,0,old
6,Lovendegem,Maison,None,430000.0,notariale,4,193,0,0,0,None,None,1,None,None,560,4,0,old
7,Lovendegem,Maison,None,420000.0,notariale,4,193,0,0,0,None,None,1,None,None,470,4,0,old
8,Lovendegem,Maison,None,430000.0,notariale,4,193,0,0,0,None,None,1,None,None,530,4,0,old
9,Deinze,Appartement,None,299700.0,notariale,4,128,0,0,0,None,None,0,None,None,128,2,0,old
0,Gentbrugge,Appartement,None,479000.0,notariale,6,133,0,0,0,True,12,1,None,None,145,2,0,old
1,Gentbrugge,Maison,None,469000.0,notariale,9,145,0,0,0,True,23,1,None,None,168,2,0,old
2,Gentbrugge,Appartement,None,449000.0,notariale,5,124,0,0,0,True,17,1,None,None,141,2,0,old
3,Gentbrugge,Appartement,None,384500.0,notariale,5,95,0,0,0,True,41,1,None,None,136,2,0,old
4,Gentbrugge,Appartement,None,409000.0,notariale,6,125,0,0,0,True,17,1,None,None,141,2,0,old
5,Gentbrugge,Appartement,None,424500.0,notariale,4,107,0,0,0,True,14,1,None,None,121,2,0,old
6,Gentbrugge,Appartement,None,319000.0,notariale,4,76,0,0,0,True,12,1,None,None,88,2,0,old
7,Gentbrugge,Maison,None,484000.0,notariale,9,152,0,0,0,True,23,1,None,None,175,2,0,old
8,Gentbrugge,Appartement,None,479000.0,notariale,5,134,0,0,0,True,17,1,None,None,151,2,0,old
9,Gentbrugge,Appartement,None,599000.0,notariale,7,129,0,0,0,True,17,1,None,None,146,2,0,old
0,Wetteren,Appartement,None,250000.0,notariale,8,221,0,0,0,True,3,0,None,None,None,None,0,old
1,Evergem,Maison,None,317000.0,notariale,6,50,0,0,0,True,80,0,None,None,40,3,0,old
2,Eeklo,Maison,Bel-étage,229900.0,notariale,6,None,0,0,0,True,50,0,None,None,46,2,0,new
3,Gent,Maison,None,259000.0,notariale,5,47,0,0,0,None,None,0,69,None,None,2,0,new
4,Zelzate,Maison,Usage mixte,330000.0,notariale,11,None,0,0,0,None,None,0,284,0,284,2,0,new
5,Evergem,Appartement,None,231000.0,notariale,5,77,0,0,0,None,None,0,None,None,None,2,0,old
6,Gent,Appartement,None,349000.0,notariale,7,48,0,0,0,True,41,0,None,None,None,None,0,old
7,Evergem,Maison,None,310000.0,notariale,6,40,0,0,0,True,50,0,None,None,20,2,0,old
8,Evergem,Maison,None,305000.0,notariale,6,40,0,0,0,True,30,0,None,None,194,2,0,old
9,Gent,Maison,None,328000.0,notariale,6,None,0,0,0,None,None,0,None,None,78,2,0,new
0,Denderwindeke,Maison,Autre,385000.0,notariale,3,None,0,0,0,None,None,0,None,None,None,None,0,old
1,De Pinte,Appartement,None,463015.0,notariale,6,128,0,0,0,True,50,1,None,None,None,None,0,old
2,Vrasene,Appartement,None,275000.0,notariale,3,None,0,0,0,None,None,0,None,None,None,None,0,None
3,Sint-Gillis-Bij-Dendermonde,Maison,Usage mixte,1100000.0,notariale,7,023,0,0,0,True,120,1,None,None,989,4,0,old
4,Oudenaarde,Maison,None,499000.0,notariale,6,199,0,0,0,True,38,1,210,-11,199,2,0,new
5,Bellem,Maison,None,275000.0,notariale,5,None,0,0,0,None,None,1,None,None,110,2,0,old
6,Gent,Appartement,Serviceflat,445000.0,notariale,4,77,0,0,0,None,None,1,None,None,None,None,0,None
7,Merelbeke,Maison,None,600150.0,notariale,7,None,0,0,0,None,None,0,None,None,343,4,0,old
8,Bachte-Maria-Leerne,Maison,None,398000.0,notariale,6,193,0,0,0,True,30,1,116,129,245,None,0,new
9,Renaix,Maison,None,150000.0,notariale,5,160,0,0,0,None,None,1,None,None,280,2,0,old
0,Gent,Appartement,None,415000.0,notariale,3,54,0,0,0,True,15,0,None,None,69,None,0,None
1,None,Appartement,None,None,notariale,0,None,0,0,0,None,None,1,None,None,None,2,0,old
2,Asper,Appartement,None,271634.0,notariale,3,100,0,0,0,None,None,0,None,None,100,2,0,None
3,Astene,Maison,None,339182.0,notariale,4,147,0,0,0,None,None,1,None,None,355,3,0,None
4,Asper,Maison,None,288259.0,notariale,4,140,0,0,0,None,None,1,None,None,242,None,0,None
5,Buggenhout,Maison,None,350000.0,notariale,7,150,0,0,0,True,8,0,None,None,100,2,0,new
6,Gent,Appartement,None,293600.0,notariale,2,36,0,0,0,True,55,0,None,None,91,None,0,None
7,Gent,Appartement,None,448000.0,notariale,5,21,0,0,0,True,31,0,None,None,52,None,0,None
8,Gent,Appartement,None,440000.0,notariale,3,39,0,0,0,True,51,0,None,None,90,None,0,None
9,Gent,Appartement,None,422000.0,notariale,3,37,0,0,0,True,92,0,None,None,29,None,0,None
0,Sint-Niklaas,Maison,None,325000.0,notariale,6,190,0,0,0,None,None,1,None,None,160,2,0,None
1,Sint-Gillis-Waas,Maison,None,150000.0,notariale,4,108,0,0,0,None,None,1,None,None,370,3,0,None
2,Gent,Appartement,None,520000.0,notariale,4,125,0,0,0,True,50,0,None,None,None,2,0,new
3,Gent,Maison,Usage mixte,1995000.0,notariale,6,610,0,0,0,True,46,0,None,None,None,3,0,new
