,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state
4,Grimbergen,Maison,None,2650000,notariale,14,998,0,0,1,None,None,0,None,None,923,None,0,None
5,Grimbergen,Maison,None,295000,notariale,6,140,1,0,0,None,None,0,None,None,520,None,0,None
6,Beigem,Maison,None,329000,notariale,6,145,1,0,0,None,None,0,None,None,435,None,0,None
7,Vilvoorde,Appartement,None,545000,notariale,6,167,0,0,0,None,None,0,None,None,None,None,0,None
8,Vilvoorde,Appartement,None,390000,notariale,8,239,0,0,0,None,None,0,None,None,None,None,0,None
9,Merchtem,Maison,None,795000,notariale,7,311,0,0,0,None,None,0,None,None,980,None,0,None
0,Zellik,Appartement,None,199000,notariale,5,85,0,0,0,None,None,0,None,None,None,None,0,None
1,Testelt,Maison,None,200000,notariale,7,130,0,0,0,None,None,0,None,None,420,3,0,old
2,Bertem,Appartement,None,349000,notariale,4,126,0,0,0,None,None,0,None,None,None,2,0,None
3,Rotselaar,Maison,None,339000,notariale,7,125,0,0,0,True,25,1,None,None,234,3,0,new
4,Gelrode,Maison,None,235000,notariale,7,155,0,0,0,None,None,1,None,None,572,3,0,old
5,Diest,Maison,None,3500,notariale,6,204,0,0,0,None,None,1,None,None,194,3,0,None
6,Testelt,Maison,None,425000,notariale,5,202,0,0,0,None,None,1,None,None,834,4,0,None
7,Houwaart,Maison,Maison unifamiliale,389000,notariale,8,165,0,0,0,None,None,1,None,None,039,3,0,old
8,None,Appartement,None,100000,agence,2,None,0,0,0,None,None,0,None,None,None,None,0,old
9,None,Maison,None,125000,agence,3,None,0,0,0,None,None,1,None,None,230,4,0,old
0,Blanden,Appartement,None,391400,notariale,4,103,0,0,0,None,None,0,None,None,None,None,0,old
1,Roosdaal,Maison,None,469599,notariale,7,162,0,0,0,None,None,0,None,None,635,4,0,None
2,Liedekerke,Maison,None,483796,notariale,6,55,0,0,0,None,None,0,None,None,360,2,0,None
3,Hekelgem,Maison,None,548342,notariale,6,187,0,0,0,None,None,1,108,867,975,4,0,old
4,Roosdaal,Maison,None,482879,notariale,5,169,0,0,0,None,None,0,None,None,425,3,0,None
5,Essene,Maison,None,568912,notariale,7,162,0,0,0,None,None,1,None,None,556,3,0,None
6,Brussegem,Maison,None,393823,notariale,6,171,0,0,0,None,None,1,None,None,333,3,0,None
7,Brussegem,Maison,None,437712,notariale,7,162,0,0,0,None,None,1,None,None,333,3,0,None
8,Borchtlombeek,Maison,None,496148,notariale,8,214,0,0,0,None,None,1,None,None,781,4,0,None
9,Zoutleeuw,Maison,None,112000,notariale,3,30,0,0,0,None,None,0,None,None,None,2,0,None
0,Drieslinter,Maison,None,398000,notariale,7,235,0,0,0,True,25,1,None,None,099,4,0,new
1,Berg,Maison,Villa,639000,notariale,13,327,0,0,0,None,None,1,None,None,000,4,0,None
2,Strombeek-Bever,Maison,Villa,590000,notariale,7,320,0,0,0,None,None,0,None,None,None,None,0,old
3,Grimbergen,Maison,Villa,590000,notariale,7,320,0,0,0,None,None,0,None,None,None,None,0,old
4,Geetbets,Maison,None,195000,notariale,6,163,0,0,0,None,None,1,None,None,605,3,0,old
5,Huldenberg,Maison,None,175000,notariale,5,None,0,0,0,None,None,0,None,None,732,4,0,old
6,Huldenberg,Maison,None,265000,notariale,9,None,1,0,0,True,30,0,None,None,309,3,0,new
7,Diest,Maison,None,316000,notariale,7,75,0,0,0,True,16,1,68,302,370,3,0,old
8,None,Maison,None,195000,agence,6,None,0,0,0,None,None,1,None,None,965,4,0,old
9,None,Maison,None,400000,agence,9,None,0,0,0,None,None,1,None,None,382,3,0,old
0,Malderen,Appartement,Duplex,310000,notariale,6,120,0,0,0,True,27,0,None,None,None,None,0,None
1,Malderen,Appartement,Duplex,310000,notariale,6,130,0,0,0,True,27,0,None,None,None,None,0,None
2,Merchtem,Appartement,None,239000,notariale,2,78,0,0,0,True,26,0,None,None,None,None,0,None
3,Scherpenheuvel,Maison,Usage mixte,298000,notariale,7,None,0,0,0,None,None,0,None,None,145,None,0,None
4,Galmaarden,Maison,Villa,281421,notariale,4,None,0,0,0,None,None,1,None,None,410,4,0,None
5,Malderen,Appartement,Duplex,395000,notariale,6,142,0,0,0,True,38,0,None,None,None,None,0,None
6,Malderen,Appartement,Duplex,345000,notariale,6,120,0,0,0,True,27,0,None,None,None,None,0,None
7,Malderen,Appartement,Duplex,355000,notariale,6,130,0,0,0,True,27,0,None,None,None,None,0,None
8,Malderen,Appartement,Duplex,310000,notariale,6,130,0,0,0,True,27,0,None,None,None,None,0,None
